Date,Exchange Rate
Daily,/ US$ 
30-Sep-2022,228.452000
29-Sep-2022,229.627600
28-Sep-2022,232.120900
27-Sep-2022,233.908800
26-Sep-2022,237.018800
23-Sep-2022,239.653600
22-Sep-2022,239.711000
21-Sep-2022,239.649000
20-Sep-2022,238.905300
19-Sep-2022,237.910200
16-Sep-2022,236.838000
15-Sep-2022,235.884300
14-Sep-2022,234.315700
13-Sep-2022,231.922300
12-Sep-2022,229.820500
09-Sep-2022,228.183500
08-Sep-2022,225.422100
07-Sep-2022,223.417700
06-Sep-2022,221.421800
05-Sep-2022,219.862000
02-Sep-2022,218.979600
01-Sep-2022,218.599300
31-Aug-2022,218.752200
30-Aug-2022,220.121600
29-Aug-2022,221.916500
26-Aug-2022,220.658700
25-Aug-2022,219.413900
24-Aug-2022,218.376700
23-Aug-2022,217.657800
22-Aug-2022,216.659400
19-Aug-2022,214.650200
18-Aug-2022,214.954800
17-Aug-2022,214.884000
16-Aug-2022,213.899200
15-Aug-2022,213.976500
12-Aug-2022,215.493700
11-Aug-2022,218.881400
10-Aug-2022,221.911200
05-Aug-2022,224.036300
04-Aug-2022,226.154900
03-Aug-2022,228.797200
02-Aug-2022,238.383900
01-Aug-2022,238.837900
29-Jul-2022,239.374400
28-Jul-2022,239.942700
27-Jul-2022,236.019900
26-Jul-2022,232.926500
25-Jul-2022,229.875300
22-Jul-2022,228.365200
21-Jul-2022,226.810900
20-Jul-2022,224.915100
19-Jul-2022,221.991000
18-Jul-2022,215.195800
15-Jul-2022,210.954600
14-Jul-2022,209.804200
13-Jul-2022,210.104800
07-Jul-2022,207.909300
06-Jul-2022,207.994200
05-Jul-2022,206.938800
04-Jul-2022,204.562400
30-Jun-2022,204.846700
29-Jun-2022,205.116000
28-Jun-2022,206.874700
27-Jun-2022,207.943700
24-Jun-2022,207.475900
23-Jun-2022,207.230200
22-Jun-2022,211.933300
21-Jun-2022,211.483400
20-Jun-2022,209.956300
17-Jun-2022,208.746800
16-Jun-2022,207.673100
15-Jun-2022,206.457000
14-Jun-2022,205.163500
13-Jun-2022,203.855400
10-Jun-2022,202.350700
09-Jun-2022,200.768700
08-Jun-2022,201.521400
07-Jun-2022,202.829700
06-Jun-2022,200.063900
03-Jun-2022,197.923200
02-Jun-2022,197.590200
01-Jun-2022,197.869500
31-May-2022,198.460700
30-May-2022,199.061300
27-May-2022,199.755400
26-May-2022,202.006300
25-May-2022,201.922200
24-May-2022,201.410600
23-May-2022,200.930500
